,timestamp,attention,meditation,theta,delta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,CVNN,SDNN,RMSSD,SDNN_over_RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num
232,2023-09-19_14:19:21.039972,14,83,25999,9618,15249,14404,3357,6579,4121,1068,0,0,764,78,0.13437147,90.87094634,69.00574689,1.316860558,0.6,0.466666667,0.466666667,0.333333333,0.233333333,0.0,0.0,0.0,1
233,2023-09-19_14:19:22.057283,16,78,30909,425384,17742,13976,13124,5457,4989,3508,0,0,824,77,0.138687685,94.73293455,72.71579063,1.302783532,0.633333333,0.5,0.5,0.366666667,0.266666667,0.0,0.0,0.0,1
234,2023-09-19_14:19:23.072609,27,80,8673,24685,24600,6296,8632,7337,2845,995,0,0,838,76,0.143220614,98.65035901,72.71579063,1.356656624,0.666666667,0.5,0.5,0.366666667,0.266666667,0.0,0.0,0.0,1
235,2023-09-19_14:19:24.093315,38,70,5253,17252,13249,5830,7051,6926,3481,852,0,0,818,76,0.146112245,101.3142307,72.35067857,1.400321775,0.666666667,0.533333333,0.5,0.366666667,0.266666667,0.0,0.0,0.0,1
236,2023-09-19_14:19:25.114317,40,66,16438,14575,5261,6534,3913,3628,2553,2004,0,0,776,76,0.145811329,101.7860283,72.76130082,1.398903361,0.666666667,0.533333333,0.5,0.366666667,0.266666667,0.0,0.0,0.0,1
237,2023-09-19_14:19:26.136711,35,66,59168,27268,38468,5035,6452,4044,3116,684,0,0,870,74,0.147838405,105.8621536,73.01487803,1.449870991,0.666666667,0.533333333,0.5,0.366666667,0.266666667,0.0,0.0,0.0,1
238,2023-09-19_14:19:27.156650,26,56,69208,122963,15482,16601,5603,6527,1447,642,0,0,812,74,0.141997962,102.891723,73.80496199,1.394103056,0.7,0.566666667,0.533333333,0.4,0.3,0.0,0.0,0.0,1
239,2023-09-19_14:19:28.177153,26,54,15389,10840,12434,8666,4784,9953,9476,1421,0,0,738,74,0.134154498,98.0222197,75.07329752,1.305686881,0.733333333,0.6,0.566666667,0.433333333,0.333333333,0.0,0.0,0.0,1
240,2023-09-19_14:19:29.203372,26,56,13871,9664,5925,10385,6037,4752,5270,1453,0,0,602,76,0.121744279,89.84727783,78.76022101,1.140769752,0.766666667,0.633333333,0.6,0.466666667,0.366666667,0.0,0.0,0.0,1
241,2023-09-19_14:19:30.229934,41,54,17126,12264,9226,6966,6776,10415,2031,1326,0,0,932,75,0.119661669,89.8100712,99.79150679,0.899977103,0.8,0.666666667,0.633333333,0.5,0.4,0.0,0.0,0.0,1
242,2023-09-19_14:19:31.242800,51,54,16754,10209,8052,6720,11897,7430,5344,3938,0,0,778,75,0.108596815,82.30914624,97.89367913,0.840801439,0.833333333,0.7,0.666666667,0.533333333,0.433333333,0.0,0.0,0.0,1
243,2023-09-19_14:19:32.268523,47,53,22110,34712,6038,17916,9134,6521,6176,2548,0,0,842,75,0.109788641,83.68090184,98.3007349,0.851274428,0.8,0.7,0.666666667,0.533333333,0.433333333,0.0,0.0,0.0,1
244,2023-09-19_14:19:33.290250,50,48,32652,9135,10977,8056,6256,11397,3451,2095,0,0,996,74,0.120779874,93.16959447,102.3213329,0.910558842,0.8,0.7,0.666666667,0.566666667,0.466666667,0.0,0.0,0.0,1
245,2023-09-19_14:19:34.305729,55,66,110218,300536,56929,51331,26302,30571,22095,45187,0,0,822,110,0.12779978475522755,90.04145446706573,92.27077961102063,,0.8611839322697763,0.7248786896581287,0.5758809083879057,0.462858707276009,0.3700975133493169,142.93578712610392,122.19370406767214,1.147086584275376,1
246,2023-09-19_14:19:35.321945,54,65,105114,285356,54307,48758,25168,29200,20985,42227,0,0,817,108,0.1253196755578529,88.44061623672883,90.48474155481159,,0.8467216455142857,0.7124345015774048,0.5659049860246208,0.45466232706561366,0.3634001048482792,138.0521290615495,119.53146615562017,1.111184189694652,1
247,2023-09-19_14:19:36.339188,33,44,8639,0,4736,112,3739,3293,12,0,0,0,707,78,0.07844328061052908,58.183269015290435,56.72694355042115,,0.5733708323688556,0.47722765024671066,0.377350676738478,0.299743037105464,0.23681278911615727,45.74640136856291,69.21266731354054,0.43259518655631796,1
248,2023-09-19_14:19:37.352634,77,89,213427,607468,109960,103372,49226,58286,44532,105045,0,0,940,142,0.1779483681864255,122.41090402149773,128.38502755135525,,1.153615892415466,0.9765040635974291,0.7775971777634343,0.6285920779074048,0.5055212073312734,241.68488017370072,176.02498705616398,1.8730442283650475,1
249,2023-09-19_14:19:38.369682,17,27,0,0,0,0,0,0,0,0,0,0,618,54,0.040359973457779016,33.60160378364635,29.30144311152509,,0.3512952442360756,0.2861409684802531,0.22416543961459034,0.17388355260226956,0.1339707588771452,0.0,28.332683389568487,0.0,1
250,2023-09-19_14:19:39.396593,35,46,17561,24983,9320,4611,5721,5689,1952,0,0,0,717,81,0.08277830725294251,60.98140241443695,59.84879099416529,,0.5986497186621043,0.49897906624494426,0.3947877675219269,0.3140696347492396,0.24851930765084848,54.28263350087839,73.86603995108614,0.4953496157558995,1
251,2023-09-19_14:19:40.423820,50,56,17897,16385,9246,1350,8323,7409,4177,1122,0,0,880,68,0.107818954,88.03776967,134.7544382,0.653320001,0.866666667,0.766666667,0.733333333,0.7,0.566666667,0.0,0.0,0.0,1
252,2023-09-19_14:19:41.461668,57,57,12844,6061,18516,3353,3683,6020,4875,1173,0,0,870,68,0.108249746,88.54829191,134.4721481,0.658487971,0.866666667,0.733333333,0.7,0.666666667,0.533333333,0.0,0.0,0.0,1
253,2023-09-19_14:19:42.490531,51,50,26614,24361,2526,7655,7933,4332,6090,2164,0,0,810,70,0.107747352,88.25226469,134.8178848,0.65460354,0.866666667,0.733333333,0.7,0.666666667,0.566666667,0.0,0.0,0.0,1
254,2023-09-19_14:19:43.511364,37,54,10872,7536,13203,12013,3095,2790,2517,1306,0,0,852,68,0.106295261,87.43139533,135.0182619,0.647552369,0.866666667,0.733333333,0.7,0.7,0.566666667,0.0,0.0,0.0,1
255,2023-09-19_14:19:44.539227,29,63,28000,14946,26119,12760,8394,8023,3262,2326,0,0,896,69,0.105905379,87.7320162,134.6300166,0.651652718,0.833333333,0.733333333,0.7,0.7,0.533333333,0.0,0.0,0.0,1
256,2023-09-19_14:19:45.573096,35,66,3460,8131,7843,22428,9648,11758,5596,1820,0,0,868,70,0.104790542,87.17175893,134.3839071,0.648677069,0.833333333,0.733333333,0.666666667,0.666666667,0.533333333,0.0,0.0,0.0,1
257,2023-09-19_14:19:46.605470,38,74,83450,430172,30921,31838,11154,24900,7586,6355,0,0,782,70,0.101699411,84.83764888,133.7217905,0.634433989,0.833333333,0.733333333,0.666666667,0.666666667,0.533333333,0.0,0.0,0.0,1
258,2023-09-19_14:19:47.636676,41,74,27655,85141,15688,60517,12135,11833,13792,12014,0,0,848,70,0.101617784,84.85084953,134.2570874,0.632002758,0.833333333,0.733333333,0.666666667,0.666666667,0.533333333,0.0,0.0,0.0,1
259,2023-09-19_14:19:48.651454,44,75,18271,7186,18082,17861,8376,10057,7628,1876,0,0,766,72,0.103468469,86.0512767,134.484969,0.639857951,0.833333333,0.766666667,0.7,0.7,0.566666667,0.0,0.0,0.0,1
260,2023-09-19_14:19:49.671570,44,55,58561,146913,30387,25284,14828,16699,10865,15228,0,0,764,94,0.10270001273996407,73.84028289877033,74.19530613231852,,0.714819368658451,0.5989381528173059,0.4749202824503549,0.3799078134810448,0.3023168581075718,93.5110665732444,95.250711108479,0.7837389059827755,1
261,2023-09-19_14:19:50.695016,13,23,0,0,0,0,0,0,0,0,0,0,595,48,0.0306486475370384,27.333225835755982,22.30788101794778,,0.29466548761469336,0.23741345019241689,0.1851028719129672,0.14178911108424444,0.10774581811777661,0.0,17.9081988266079,0.0,1
262,2023-09-19_14:19:51.721792,57,69,121151,333048,62547,56844,28730,33506,24471,51528,0,0,835,113,0.1331118827888751,93.47025898283557,96.09626006020844,,0.8921604252069469,0.7515326559850666,0.5972481440023389,0.4804143758912288,0.38444256338443517,153.3960000994634,127.89590008092972,1.2239852304549022,1
263,2023-09-19_14:19:52.730015,35,46,14885,17025,7945,3262,5127,4970,1370,0,0,0,714,80,0.08147798944277194,60.1420851519904,58.91237372004308,,0.5910671617876468,0.49245459570485417,0.38955740527191396,0.30977228398025386,0.24500786566873503,51.72213835540438,72.47023230857711,0.4765260401042688,1
264,2023-09-19_14:19:53.747082,45,56,61090,154433,31686,26559,15389,17378,11415,16694,0,0,767,95,0.10392855587823446,74.63327170161949,75.0800352406046,,0.7219833851364208,0.6051024869902136,0.4798619402532877,0.383967959976528,0.30563447624585927,95.93022804049689,96.5694732511931,0.8015234618226215,1
265,2023-09-19_14:19:54.763051,65,77,158136,443039,81551,75493,36945,43438,32512,72978,0,0,877,125,0.15108291272842875,105.0700352330991,109.03800609916956,,0.9969550804392455,0.8417040390874134,0.6695343157785792,0.5398058713596146,0.43297241393173225,188.78329892709334,147.1866463409515,1.4841362788824668,1
266,2023-09-19_14:19:55.785006,53,48,11381,7766,24341,14720,7173,10835,12820,4617,0,0,848,70,0.081416959,69.36182107,114.7717375,0.604345831,0.9,0.8,0.733333333,0.733333333,0.6,0.0,0.0,0.0,1
267,2023-09-19_14:19:56.805648,47,38,36812,234607,4651,1436,5219,2971,1934,313,0,0,788,70,0.080994541,69.02894723,115.3088805,0.598643807,0.9,0.8,0.733333333,0.733333333,0.6,0.0,0.0,0.0,1
268,2023-09-19_14:19:57.813245,43,41,45070,478368,36040,25030,23287,43527,19237,9029,0,0,790,70,0.082198071,69.9121989,111.1649908,0.628904824,0.866666667,0.766666667,0.7,0.7,0.566666667,0.0,0.0,0.0,1
269,2023-09-19_14:19:58.828249,41,44,55344,352790,14695,11303,18505,8768,11397,6469,0,0,788,71,0.077411346,65.3042112,94.87414531,0.688324632,0.833333333,0.733333333,0.666666667,0.666666667,0.533333333,0.0,0.0,0.0,1
270,2023-09-19_14:19:59.851965,38,38,44010,24189,7603,49341,21973,16061,4999,3726,0,0,754,73,0.071689197,60.64428158,63.31748138,0.957781015,0.833333333,0.733333333,0.666666667,0.633333333,0.5,0.0,0.0,0.0,1
271,2023-09-19_14:20:00.872429,47,60,11635,19499,51586,3717,5657,13984,8857,3495,0,0,790,74,0.05726093,47.77470274,44.9029605,1.063954408,0.8,0.7,0.633333333,0.566666667,0.433333333,0.0,0.0,0.0,1
272,2023-09-19_14:20:01.906424,48,60,31060,10764,40649,4756,14170,33550,7918,4023,0,0,796,75,0.05684735,47.25909671,44.9029605,1.052471734,0.766666667,0.666666667,0.6,0.533333333,0.4,0.0,0.0,0.0,1
273,2023-09-19_14:20:02.923417,56,57,35942,15243,8518,14096,33521,22970,22912,5744,0,0,762,76,0.057953095,47.95039103,44.22201043,1.084310518,0.8,0.7,0.633333333,0.533333333,0.4,0.0,0.0,0.0,1
274,2023-09-19_14:20:03.946721,63,57,12672,35172,3903,18877,11744,14283,3293,2571,0,0,808,76,0.058147805,48.07660554,45.00114941,1.068341724,0.8,0.7,0.633333333,0.533333333,0.366666667,0.0,0.0,0.0,1
275,2023-09-19_14:20:04.961640,57,47,14459,84844,2800,6437,8371,2798,1289,754,0,0,862,76,0.058559082,48.46740027,45.37506531,1.068150535,0.8,0.733333333,0.666666667,0.566666667,0.4,0.0,0.0,0.0,1
276,2023-09-19_14:20:05.990087,53,41,13530,13971,3967,3471,5477,5053,2171,3027,0,0,850,74,0.059055546,48.87830694,45.46768462,1.075012008,0.8,0.766666667,0.7,0.566666667,0.433333333,0.0,0.0,0.0,1
277,2023-09-19_14:20:07.021855,51,51,10901,47270,10984,10797,8125,8252,2579,1976,0,0,772,74,0.060265424,49.80334661,47.07733916,1.057904875,0.8,0.766666667,0.7,0.566666667,0.433333333,0.0,0.0,0.0,1
278,2023-09-19_14:20:08.037424,48,53,10583,35560,10037,10638,6936,7753,9468,2552,0,0,792,74,0.060577022,49.93969697,47.22214559,1.05754824,0.8,0.766666667,0.666666667,0.533333333,0.433333333,0.0,0.0,0.0,1
279,2023-09-19_14:20:09.056574,50,57,44826,391060,20801,23020,10495,11882,4252,3840,0,0,810,73,0.058289316,47.81278304,46.50991737,1.028012642,0.8,0.766666667,0.633333333,0.5,0.433333333,0.0,0.0,0.0,1
280,2023-09-19_14:20:10.076708,50,63,21160,3986,17117,4393,4400,10393,3313,2821,0,0,778,73,0.058177366,47.54642176,44.08455825,1.078527803,0.8,0.766666667,0.666666667,0.5,0.433333333,0.0,0.0,0.0,1
281,2023-09-19_14:20:11.095645,44,57,47597,75214,27393,2475,5820,10245,1892,2619,0,0,746,73,0.059869583,48.85757078,42.76156831,1.142557972,0.8,0.766666667,0.666666667,0.466666667,0.4,0.0,0.0,0.0,1
282,2023-09-19_14:20:12.121950,40,69,6352,6855,64707,6275,4980,8567,4575,1144,0,0,768,74,0.060515991,49.22370703,41.58414817,1.183713246,0.8,0.766666667,0.633333333,0.433333333,0.366666667,0.0,0.0,0.0,1
283,2023-09-19_14:20:13.147046,40,67,19489,8472,6113,12109,12834,6329,4092,2436,0,0,844,75,0.059331071,48.47744034,41.8766662,1.157624155,0.8,0.766666667,0.633333333,0.433333333,0.366666667,0.0,0.0,0.0,1
284,2023-09-19_14:20:14.161586,47,63,12490,23989,7230,2705,3141,12995,2801,2088,0,0,832,75,0.05936001,48.54065879,40.80905917,1.189457924,0.8,0.733333333,0.6,0.4,0.366666667,0.0,0.0,0.0,1
285,2023-09-19_14:20:15.176789,53,66,9520,3464,4368,11956,5824,8310,1947,1373,0,0,832,74,0.058602921,47.85905232,38.00907333,1.259148096,0.766666667,0.7,0.566666667,0.366666667,0.333333333,0.0,0.0,0.0,1
286,2023-09-19_14:20:16.208453,61,50,4438,6522,2927,2427,3415,3312,2050,2272,0,0,852,74,0.051888624,42.21658442,36.74703835,1.148843181,0.766666667,0.7,0.533333333,0.333333333,0.3,0.0,0.0,0.0,1
287,2023-09-19_14:20:17.236844,69,54,6101,27350,14868,7471,5623,13397,1382,1525,0,0,758,74,0.050507453,40.83359184,37.08889601,1.100965416,0.766666667,0.7,0.533333333,0.333333333,0.233333333,0.0,0.0,0.0,1
288,2023-09-19_14:20:18.259360,63,64,8422,8139,20777,8885,7445,9067,3470,998,0,0,786,74,0.050032861,40.34649923,36.08419274,1.118121154,0.766666667,0.733333333,0.533333333,0.333333333,0.233333333,0.0,0.0,0.0,1
289,2023-09-19_14:20:19.277562,56,74,7943,5130,24005,8290,2775,5978,3512,2492,0,0,874,73,0.047675663,38.40115739,38.32168739,1.002073761,0.766666667,0.733333333,0.533333333,0.333333333,0.233333333,0.0,0.0,0.0,1
290,2023-09-19_14:20:20.306461,38,49,31955,67790,16716,11869,8918,9554,5081,0,0,0,733,86,0.08977230627550423,65.49582501732382,64.88548390777045,,0.6394338984631308,0.5340721336652368,0.4229202349680476,0.33718372796768786,0.2674062455967819,68.05472860305204,81.37364863800536,0.5965956870462342,1
291,2023-09-19_14:20:21.333702,41,52,43746,102853,22774,17814,11537,12720,7644,6635,0,0,747,89,0.09550119429473383,69.19365532584811,69.01111355058424,,0.6728408232114029,0.5628173841083078,0.44596395504629494,0.3561168235096463,0.28287681574832874,79.33565534839707,87.52324192802588,0.6795278411598071,1
292,2023-09-19_14:20:22.352656,51,63,93646,251253,48414,42975,22621,26120,18492,35576,0,0,804,105,0.11974761178587348,84.84401141081946,86.47204809804224,,0.8142292116426039,0.6844761319823486,0.5434920714435285,0.43624751158891706,0.3483530305846611,127.08000968670729,113.55021362132139,1.030522244493881,1
293,2023-09-19_14:20:23.377565,29,39,0,0,0,0,0,0,0,0,0,0,682,72,0.06795696722385383,51.41465923695755,49.17527816497691,,0.5122218832150952,0.4246115572959108,0.33517082097515705,0.2650873809700281,0.20849503419842721,25.09748438035443,57.956283487692545,0.28079390244186264,1
294,2023-09-19_14:20:24.408001,40,51,41230,95372,21482,16546,10978,12045,7097,5176,0,0,744,88,0.09427891743690434,68.40471122445904,68.1308970723671,,0.6657133473602419,0.556684491604362,0.44104750255579395,0.3520773861091711,0.27957611938104204,76.92883300356807,86.21120623484674,0.6618339968391076,1
295,2023-09-19_14:20:25.438610,36,47,21889,37853,11544,6793,6682,6851,2893,0,0,0,722,82,0.08488104851354784,62.33866063598909,61.363069445201866,,0.6109114558128987,0.509529774157229,0.4032457755757981,0.32101887185309425,0.25419765326932703,58.42320494261048,76.12319762347624,0.5257891812876656,1
296,2023-09-19_14:20:26.473692,50,61,86828,230976,44911,39537,21106,24289,17010,31622,0,0,796,103,0.1164347055035807,82.70562692523649,84.08627544613952,,0.794910626517682,0.6678533038769154,0.5301663292125103,0.42529886484391777,0.33940669599517775,120.55646568317763,109.99402153383943,0.9825641672117429,1
297,2023-09-19_14:20:27.506262,57,69,120219,330277,62068,56374,28523,33256,24269,50987,0,0,834,113,0.1326590870772632,93.17799254293519,95.7701815256491,,0.8895200328282891,0.7492607096516519,0.5954268311060156,0.4789179555666979,0.38321981163971647,152.50438636287885,127.40985297012358,1.2174304987842333,1
298,2023-09-19_14:20:28.523848,24,34,0,0,0,0,0,0,0,0,0,0,654,64,0.05582640266733548,43.58473323281196,40.4395136413114,,0.44148479498201787,0.36374527486509245,0.28637717496685067,0.2249977271042957,0.175737062787647,1.2108226612859028,44.93490165049657,0.10519021706539289,1
299,2023-09-19_14:20:29.545553,53,65,102149,276539,52783,47263,24509,28404,20341,40508,0,0,813,107,0.12387906156363906,87.51074187493174,89.44729069551201,,0.8383209780314397,0.7052060813470793,0.5601103002999147,0.4499013189432729,0.3595098001706566,135.21537245494534,117.9850595715518,1.0903296675979925,1
300,2023-09-19_14:20:30.567658,82,94,236621,676444,121878,115067,54378,64514,49574,118497,0,0,966,149,0.1892180304587116,129.68514268306893,136.50081766262645,,1.2193327921357944,1.0330506854441686,0.8229279543307633,0.6658365818688368,0.5359543559951023,263.87631315540773,188.1222455918209,2.0361853763916815,1
301,2023-09-19_14:20:31.594749,57,60,4495,12214,6380,9822,1475,6536,1058,1382,0,0,874,74,0.051470958,41.99343864,38.33248375,1.095505288,0.866666667,0.8,0.466666667,0.366666667,0.2,0.0,0.0,0.0,1
302,2023-09-19_14:20:32.612809,61,56,7518,19627,3017,7584,16414,9698,3617,1449,0,0,826,74,0.05115342,41.7923438,39.10198866,1.068803537,0.866666667,0.8,0.5,0.4,0.2,0.0,0.0,0.0,1
303,2023-09-19_14:20:33.637909,66,54,9814,9104,6859,5752,4785,10804,3023,2068,0,0,810,74,0.051448847,41.99597864,39.19887402,1.07135676,0.9,0.8,0.533333333,0.4,0.2,0.0,0.0,0.0,1
304,2023-09-19_14:20:34.672494,64,56,8804,14529,12259,8080,9436,5679,2860,5025,0,0,802,73,0.050772948,41.48488346,38.77432496,1.069906014,0.866666667,0.766666667,0.5,0.4,0.2,0.0,0.0,0.0,1
305,2023-09-19_14:20:35.705484,64,57,5508,3911,24190,7108,5966,10952,4893,3002,0,0,744,74,0.050918581,41.60048077,40.03446791,1.039116615,0.866666667,0.766666667,0.5,0.433333333,0.233333333,0.0,0.0,0.0,1
306,2023-09-19_14:20:36.737912,61,63,11483,5428,5093,8638,6919,8023,4329,1086,0,0,786,75,0.056070823,45.62669784,41.90465368,1.088821738,0.866666667,0.766666667,0.533333333,0.433333333,0.233333333,0.0,0.0,0.0,1
307,2023-09-19_14:20:37.776643,50,63,39042,46524,18795,16373,1136,6699,10180,2742,0,0,824,74,0.055745374,45.32470506,42.43615895,1.068068039,0.866666667,0.766666667,0.566666667,0.433333333,0.233333333,0.0,0.0,0.0,1
308,2023-09-19_14:20:38.805116,48,63,7989,38483,16127,16833,5022,9809,3727,3683,0,0,818,75,0.055623016,45.19926253,42.45078286,1.064745088,0.833333333,0.766666667,0.566666667,0.433333333,0.233333333,0.0,0.0,0.0,1
309,2023-09-19_14:20:39.829803,51,54,11869,5759,5366,2290,14463,9924,4098,2068,0,0,796,76,0.055545168,44.92863477,42.30757656,1.061952454,0.866666667,0.8,0.6,0.466666667,0.233333333,0.0,0.0,0.0,1
310,2023-09-19_14:20:40.845993,47,48,52229,8943,6452,10652,14335,10486,2992,3762,0,0,834,76,0.055754108,45.149677,41.9556416,1.076128866,0.866666667,0.8,0.6,0.433333333,0.233333333,0.0,0.0,0.0,1
311,2023-09-19_14:20:41.861782,57,48,12377,6103,8833,19453,11171,13289,3702,1378,0,0,842,75,0.054700556,44.44967191,41.65871188,1.066995831,0.833333333,0.766666667,0.566666667,0.4,0.233333333,0.0,0.0,0.0,1
312,2023-09-19_14:20:42.878401,57,43,9617,5011,8392,9668,3917,7882,3221,2956,0,0,768,76,0.055324678,44.92363891,40.70922966,1.103524662,0.833333333,0.766666667,0.6,0.433333333,0.266666667,0.0,0.0,0.0,1
313,2023-09-19_14:20:43.906888,47,53,20665,6288,14891,12715,10941,4110,2479,2045,0,0,828,74,0.048679286,39.22901421,40.08267318,0.978702544,0.833333333,0.733333333,0.566666667,0.4,0.266666667,0.0,0.0,0.0,1
314,2023-09-19_14:20:44.939693,50,60,23095,15813,10541,10116,6605,10122,3338,1066,0,0,856,73,0.047985029,38.65034138,38.7440763,0.997580665,0.833333333,0.733333333,0.533333333,0.366666667,0.266666667,0.0,0.0,0.0,1
315,2023-09-19_14:20:45.956990,47,54,12041,18330,4761,9695,17375,6482,2456,1604,0,0,824,73,0.048126805,38.79341296,38.41335974,1.009893777,0.833333333,0.733333333,0.533333333,0.333333333,0.233333333,0.0,0.0,0.0,1
316,2023-09-19_14:20:46.977727,43,63,6330,26541,19261,17949,6253,7831,6690,1292,0,0,770,74,0.047928115,38.50864261,39.55964506,0.97343246,0.833333333,0.733333333,0.533333333,0.333333333,0.266666667,0.0,0.0,0.0,1
317,2023-09-19_14:20:47.995993,51,54,18649,14857,7949,1579,4793,7497,1272,1549,0,0,786,74,0.044805118,35.74253613,38.2243829,0.935071633,0.833333333,0.766666667,0.533333333,0.333333333,0.266666667,0.0,0.0,0.0,1
318,2023-09-19_14:20:49.021956,53,54,23288,5616,19962,5807,5588,12599,6091,2005,0,0,798,74,0.044805823,35.7401113,37.05168803,0.964601431,0.833333333,0.733333333,0.5,0.3,0.233333333,0.0,0.0,0.0,1
319,2023-09-19_14:20:50.038762,56,57,9633,9127,3383,13060,13185,9802,2619,2661,0,0,790,75,0.04326377,34.57063622,36.81266649,0.939096228,0.8,0.7,0.466666667,0.266666667,0.2,0.0,0.0,0.0,1
320,2023-09-19_14:20:51.056734,39,50,36553,81464,19079,14187,9939,10789,6081,2464,0,0,739,87,0.09200645813902852,66.93790495448712,66.49439703781677,,0.6524619316399785,0.5452822070039536,0.43190682538184866,0.34456725694318324,0.27343945885175314,72.45406463925946,83.7718671513886,0.6289375701546144,1
321,2023-09-19_14:20:52.076654,27,37,0,0,0,0,0,0,0,0,0,0,670,68,0.06280924278859451,48.091953090016176,45.46817052875562,,0.48220390376492706,0.3987823514174297,0.3144647571582523,0.2480749418667857,0.19459386668927062,14.960944433254525,52.43053197366619,0.20627475059840605,1
322,2023-09-19_14:20:53.094803,47,59,74595,194596,38625,33369,18389,21004,14351,24527,0,0,782,99,0.11049071989670528,78.8689573906325,79.8057443668322,,0.7602494009522358,0.63802878045699,0.506257406570942,0.4056549047914168,0.3233552657695758,108.85198376950189,103.6135348004061,0.8965182314658144,1
323,2023-09-19_14:20:54.111764,26,37,0,0,0,0,0,0,0,0,0,0,667,68,0.061536451927766266,47.27040367138811,44.551576647550455,,0.4747818650786664,0.3923960000114758,0.3093451185448549,0.24386856344009877,0.1911567598310816,12.454653436650474,51.06427274306574,0.1878496587707691,1
324,2023-09-19_14:20:55.136917,54,65,105345,286044,54426,48874,25219,29262,21035,42361,0,0,817,108,0.1254319786115672,88.51310458601594,90.5656160291995,,0.8473765194884049,0.7129979930252572,0.5663567107092435,0.45503347142006606,0.36370337352186627,138.27326840272312,119.65201626992723,1.1128099038169736,1
325,2023-09-19_14:20:56.156830,60,72,135789,376581,70068,64225,31981,37437,27654,60018,0,0,852,118,0.14022453490158282,98.0612686985215,101.21840039472227,,0.9336365080160882,0.7872210767759683,0.6258578783432855,0.5039205993598308,0.4036499179537413,167.4017385916899,135.53087523836695,1.3269489398497019,1
326,2023-09-19_14:20:57.178404,60,47,15872,12514,11438,9240,4524,7930,6977,2546,0,0,804,75,0.041053899,32.62963888,38.4868988,0.84781159,0.766666667,0.633333333,0.5,0.333333333,0.233333333,0.0,0.0,0.0,1
327,2023-09-19_14:20:58.196757,51,40,48581,32483,28856,7472,11103,7320,2103,1646,0,0,784,75,0.041657549,33.01777299,37.95460083,0.869928079,0.8,0.7,0.533333333,0.366666667,0.233333333,0.0,0.0,0.0,1
328,2023-09-19_14:20:59.223090,54,43,11050,13405,5215,12842,9884,10533,3795,1652,0,0,804,75,0.040030688,31.80838464,37.47734948,0.848736239,0.8,0.7,0.5,0.333333333,0.2,0.0,0.0,0.0,1
329,2023-09-19_14:21:00.244821,51,54,10470,11139,9801,7899,9992,10242,3361,3965,0,0,798,75,0.034128225,27.22294784,34.42533149,0.790782446,0.766666667,0.666666667,0.466666667,0.333333333,0.2,0.0,0.0,0.0,1
330,2023-09-19_14:21:01.271794,53,51,14783,19123,8816,9317,6860,9438,1872,1451,0,0,760,76,0.036738692,29.17297075,35.40309747,0.824023118,0.766666667,0.633333333,0.433333333,0.333333333,0.2,0.0,0.0,0.0,1
331,2023-09-19_14:21:02.305133,64,51,8111,8508,4653,6655,6513,8158,1212,2243,0,0,606,77,0.056268335,44.28317965,44.83686907,0.987651024,0.8,0.666666667,0.466666667,0.366666667,0.233333333,0.0,0.0,0.0,1
332,2023-09-19_14:21:03.321391,69,48,4553,25906,7101,3042,14470,8286,4555,2742,0,0,1010,75,0.075004305,59.61342131,87.31946894,0.682704808,0.8,0.666666667,0.466666667,0.366666667,0.266666667,0.0,0.0,0.0,1
333,2023-09-19_14:21:04.329962,69,44,17147,13869,7162,7542,8511,11335,4668,1379,0,0,744,77,0.07587422,60.00133332,98.19544199,0.611039903,0.8,0.666666667,0.466666667,0.4,0.3,0.0,0.0,0.0,1
334,2023-09-19_14:21:05.345486,70,37,13507,1666,1661,3380,2906,7653,6453,3293,0,0,804,76,0.075112915,59.30415013,97.86549531,0.605976089,0.833333333,0.7,0.5,0.433333333,0.333333333,0.0,0.0,0.0,1
335,2023-09-19_14:21:06.376378,60,38,73983,300082,35904,28598,7785,14144,2311,2764,0,0,774,76,0.075014279,59.2412769,98.00633336,0.604463761,0.833333333,0.7,0.5,0.4,0.3,0.0,0.0,0.0,1
336,2023-09-19_14:21:07.395844,50,50,20072,7463,34395,38170,14356,15104,6024,2601,0,0,702,78,0.078958925,61.8774775,97.97466245,0.631566121,0.833333333,0.733333333,0.5,0.4,0.3,0.0,0.0,0.0,1
337,2023-09-19_14:21:08.421752,41,61,18056,290358,56576,26836,28410,12832,37172,6689,0,0,740,78,0.078036034,60.85249926,98.04854533,0.620636431,0.833333333,0.733333333,0.533333333,0.4,0.3,0.0,0.0,0.0,1
338,2023-09-19_14:21:09.437680,44,67,13264,18775,16201,10274,7428,25385,7511,3170,0,0,748,78,0.077889431,60.54085856,97.54574524,0.620640689,0.8,0.7,0.5,0.4,0.3,0.0,0.0,0.0,1
339,2023-09-19_14:21:10.467556,51,69,25982,3871,23322,12987,4529,14031,3391,1200,0,0,726,80,0.079263523,61.4397989,97.54362419,0.629869962,0.8,0.7,0.466666667,0.366666667,0.266666667,0.0,0.0,0.0,1
340,2023-09-19_14:21:11.490127,51,67,16875,10302,36330,8414,16385,10304,15523,2799,0,0,744,80,0.079684272,61.65437715,97.57543501,0.631863718,0.8,0.666666667,0.466666667,0.366666667,0.266666667,0.0,0.0,0.0,1
